Wellenzahl	SKS (1050 °C)	Norm. ÜF = Referenz / Planck
7720.59646	2.31956E+10	7.6221E-05
7718.66776	2.32153E+10	7.58772E-05
7716.73906	2.32350E+10	7.64413E-05
7714.81036	2.32547E+10	7.69033E-05
7712.88165	2.32744E+10	7.70867E-05
7710.95295	2.32941E+10	7.81436E-05
7709.02425	2.33139E+10	7.98516E-05
7707.09555	2.33336E+10	8.07058E-05
7705.16684	2.33534E+10	8.02253E-05
7703.23814	2.33731E+10	7.87751E-05
7701.30944	2.33929E+10	7.72745E-05
7699.38073	2.34127E+10	7.67877E-05
7697.45203	2.34325E+10	7.71462E-05
7695.52333	2.34523E+10	7.74249E-05
7693.59463	2.34721E+10	7.73364E-05
7691.66592	2.34919E+10	7.7465E-05
7689.73722	2.35118E+10	7.81291E-05
7687.80852	2.35316E+10	7.86435E-05
7685.87982	2.35514E+10	7.86345E-05
7683.95111	2.35713E+10	7.88792E-05
7682.02241	2.35912E+10	7.97082E-05
7680.09371	2.36111E+10	8.0383E-05
7678.16501	2.36309E+10	8.05866E-05
7676.2363	2.36508E+10	8.04148E-05
7674.3076	2.36707E+10	7.9894E-05
7672.3789	2.36907E+10	7.95834E-05
7670.4502	2.37106E+10	7.95675E-05
7668.52149	2.37305E+10	7.91102E-05
7666.59279	2.37505E+10	7.86947E-05
7664.66409	2.37704E+10	7.9198E-05
7662.73539	2.37904E+10	7.9701E-05
7660.80668	2.38103E+10	7.95156E-05
7658.87798	2.38303E+10	7.93688E-05
7656.94928	2.38503E+10	7.95211E-05
7655.02058	2.38703E+10	7.97741E-05
7653.09187	2.38903E+10	7.99516E-05
7651.16317	2.39103E+10	7.99235E-05
7649.23447	2.39304E+10	8.00598E-05
7647.30576	2.39504E+10	8.07307E-05
7645.37706	2.39704E+10	8.1809E-05
7643.44836	2.39905E+10	8.26073E-05
7641.51966	2.40106E+10	8.23479E-05
7639.59095	2.40306E+10	8.12812E-05
7637.66225	2.40507E+10	8.05898E-05
7635.73355	2.40708E+10	8.0884E-05
7633.80485	2.40909E+10	8.15222E-05
7631.87614	2.41110E+10	8.17463E-05
7629.94744	2.41311E+10	8.15533E-05
7628.01874	2.41513E+10	8.10677E-05
7626.09004	2.41714E+10	8.03642E-05
7624.16133	2.41915E+10	7.99394E-05
7622.23263	2.42117E+10	8.01973E-05
7620.30393	2.42319E+10	8.08549E-05
7618.37523	2.42520E+10	8.15903E-05
7616.44652	2.42722E+10	8.24436E-05
7614.51782	2.42924E+10	8.30962E-05
7612.58912	2.43126E+10	8.29328E-05
7610.66042	2.43328E+10	8.2222E-05
7608.73171	2.43530E+10	8.19594E-05
7606.80301	2.43732E+10	8.26275E-05
7604.87431	2.43935E+10	8.37055E-05
7602.94561	2.44137E+10	8.41289E-05
7601.0169	2.44340E+10	8.36213E-05
7599.0882	2.44542E+10	8.30966E-05
7597.1595	2.44745E+10	8.30922E-05
7595.23079	2.44948E+10	8.32215E-05
7593.30209	2.45151E+10	8.31837E-05
7591.37339	2.45354E+10	8.28503E-05
7589.44469	2.45557E+10	8.23992E-05
7587.51598	2.45760E+10	8.2395E-05
7585.58728	2.45963E+10	8.2658E-05
7583.65858	2.46167E+10	8.2573E-05
7581.72988	2.46370E+10	8.21931E-05
7579.80117	2.46574E+10	8.19376E-05
7577.87247	2.46777E+10	8.19905E-05
7575.94377	2.46981E+10	8.21044E-05
7574.01507	2.47185E+10	8.21332E-05
7572.08636	2.47388E+10	8.2521E-05
7570.15766	2.47592E+10	8.32627E-05
7568.22896	2.47796E+10	8.35399E-05
7566.30026	2.48001E+10	8.3325E-05
7564.37155	2.48205E+10	8.32763E-05
7562.44285	2.48409E+10	8.35599E-05
7560.51415	2.48614E+10	8.41268E-05
7558.58545	2.48818E+10	8.44438E-05
7556.65674	2.49023E+10	8.41042E-05
7554.72804	2.49227E+10	8.37935E-05
7552.79934	2.49432E+10	8.39069E-05
7550.87064	2.49637E+10	8.40499E-05
7548.94193	2.49842E+10	8.40802E-05
7547.01323	2.50047E+10	8.42767E-05
7545.08453	2.50252E+10	8.47966E-05
7543.15583	2.50457E+10	8.55343E-05
7541.22712	2.50662E+10	8.61876E-05
7539.29842	2.50868E+10	8.61841E-05
7537.36972	2.51073E+10	8.54353E-05
7535.44101	2.51279E+10	8.48992E-05
7533.51231	2.51484E+10	8.52852E-05
7531.58361	2.51690E+10	8.57632E-05
7529.65491	2.51896E+10	8.54507E-05
7527.7262	2.52101E+10	8.49752E-05
7525.7975	2.52307E+10	8.50257E-05
7523.8688	2.52513E+10	8.54113E-05
7521.9401	2.52720E+10	8.59438E-05
7520.01139	2.52926E+10	8.64519E-05
7518.08269	2.53132E+10	8.65472E-05
7516.15399	2.53338E+10	8.64634E-05
7514.22529	2.53545E+10	8.65653E-05
7512.29658	2.53751E+10	8.64389E-05
7510.36788	2.53958E+10	8.62989E-05
7508.43918	2.54165E+10	8.68851E-05
7506.51048	2.54372E+10	8.80108E-05
7504.58177	2.54579E+10	8.89644E-05
7502.65307	2.54785E+10	8.93849E-05
7500.72437	2.54993E+10	8.95522E-05
7498.79567	2.55200E+10	8.95041E-05
7496.86696	2.55407E+10	8.90075E-05
7494.93826	2.55614E+10	8.85451E-05
7493.00956	2.55822E+10	8.88073E-05
7491.08086	2.56029E+10	8.98343E-05
7489.15215	2.56237E+10	9.04676E-05
7487.22345	2.56444E+10	8.98091E-05
7485.29475	2.56652E+10	8.89841E-05
7483.36604	2.56860E+10	8.88922E-05
7481.43734	2.57068E+10	8.90026E-05
7479.50864	2.57276E+10	8.92417E-05
7477.57994	2.57484E+10	8.98375E-05
7475.65123	2.57692E+10	9.04945E-05
7473.72253	2.57900E+10	9.10645E-05
7471.79383	2.58108E+10	9.14617E-05
7469.86513	2.58317E+10	9.13024E-05
7467.93642	2.58525E+10	9.07592E-05
7466.00772	2.58734E+10	9.0579E-05
7464.07902	2.58942E+10	9.05826E-05
7462.15032	2.59151E+10	9.01501E-05
7460.22161	2.59360E+10	8.96589E-05
7458.29291	2.59569E+10	8.95475E-05
7456.36421	2.59778E+10	8.976E-05
7454.43551	2.59987E+10	9.02563E-05
7452.5068	2.60196E+10	9.0806E-05
7450.5781	2.60405E+10	9.10666E-05
7448.6494	2.60614E+10	9.09408E-05
7446.7207	2.60824E+10	9.07973E-05
7444.79199	2.61033E+10	9.08649E-05
7442.86329	2.61243E+10	9.07749E-05
7440.93459	2.61452E+10	9.05836E-05
7439.00589	2.61662E+10	9.05626E-05
7437.07718	2.61872E+10	9.04028E-05
7435.14848	2.62082E+10	9.00477E-05
7433.21978	2.62292E+10	8.9952E-05
7431.29107	2.62502E+10	9.03108E-05
7429.36237	2.62712E+10	9.09227E-05
7427.43367	2.62922E+10	9.17364E-05
7425.50497	2.63132E+10	9.26259E-05
7423.57626	2.63343E+10	9.29442E-05
7421.64756	2.63553E+10	9.26888E-05
7419.71886	2.63764E+10	9.24683E-05
7417.79016	2.63974E+10	9.21095E-05
7415.86145	2.64185E+10	9.15326E-05
7413.93275	2.64395E+10	9.12802E-05
7412.00405	2.64606E+10	9.13911E-05
7410.07535	2.64817E+10	9.14373E-05
7408.14664	2.65028E+10	9.13738E-05
7406.21794	2.65239E+10	9.16684E-05
7404.28924	2.65450E+10	9.22274E-05
7402.36054	2.65662E+10	9.22999E-05
7400.43183	2.65873E+10	9.19913E-05
7398.50313	2.66084E+10	9.17988E-05
7396.57443	2.66296E+10	9.15767E-05
7394.64573	2.66507E+10	9.1417E-05
7392.71702	2.66719E+10	9.14983E-05
7390.78832	2.66930E+10	9.15679E-05
7388.85962	2.67142E+10	9.16023E-05
7386.93092	2.67354E+10	9.1725E-05
7385.00221	2.67566E+10	9.18388E-05
7383.07351	2.67778E+10	9.1714E-05
7381.14481	2.67990E+10	9.17816E-05
7379.21611	2.68202E+10	9.24529E-05
7377.2874	2.68414E+10	9.24037E-05
7375.3587	2.68627E+10	9.15019E-05
7373.43	2.68839E+10	9.15317E-05
7371.50129	2.69051E+10	9.17954E-05
7369.57259	2.69264E+10	9.10381E-05
7367.64389	2.69476E+10	9.06021E-05
7365.71519	2.69689E+10	9.11823E-05
7363.78648	2.69902E+10	9.17205E-05
7361.85778	2.70115E+10	9.19691E-05
7359.92908	2.70328E+10	9.21504E-05
7358.00038	2.70540E+10	9.17004E-05
7356.07167	2.70754E+10	9.14138E-05
7354.14297	2.70967E+10	9.32204E-05
7352.21427	2.71180E+10	9.56102E-05
7350.28557	2.71393E+10	9.51871E-05
7348.35686	2.71606E+10	9.25421E-05
7346.42816	2.71820E+10	9.05968E-05
7344.49946	2.72033E+10	8.99287E-05
7342.57076	2.72247E+10	8.93736E-05
7340.64205	2.72461E+10	8.92462E-05
7338.71335	2.72674E+10	9.11983E-05
7336.78465	2.72888E+10	9.41015E-05
7334.85595	2.73102E+10	9.51677E-05
7332.92724	2.73316E+10	9.42069E-05
7330.99854	2.73530E+10	9.18038E-05
7329.06984	2.73744E+10	8.91774E-05
7327.14114	2.73958E+10	8.88485E-05
7325.21243	2.74172E+10	9.05467E-05
7323.28373	2.74387E+10	9.24469E-05
7321.35503	2.74601E+10	9.43356E-05
7319.42632	2.74815E+10	9.5416E-05
7317.49762	2.75030E+10	9.51827E-05
7315.56892	2.75245E+10	9.48816E-05
7313.64022	2.75459E+10	9.46251E-05
7311.71151	2.75674E+10	9.36763E-05
7309.78281	2.75889E+10	9.22991E-05
7307.85411	2.76104E+10	9.14777E-05
7305.92541	2.76319E+10	9.29074E-05
7303.9967	2.76534E+10	9.62044E-05
7302.068	2.76749E+10	9.81066E-05
7300.1393	2.76964E+10	9.79536E-05
7298.2106	2.77179E+10	9.74901E-05
7296.28189	2.77394E+10	9.64946E-05
7294.35319	2.77610E+10	9.52263E-05
7292.42449	2.77825E+10	9.5205E-05
7290.49579	2.78041E+10	9.5562E-05
7288.56708	2.78256E+10	9.52215E-05
7286.63838	2.78472E+10	9.53828E-05
7284.70968	2.78688E+10	9.63727E-05
7282.78098	2.78904E+10	9.7178E-05
7280.85227	2.79119E+10	9.77708E-05
7278.92357	2.79335E+10	9.83013E-05
7276.99487	2.79551E+10	9.81605E-05
7275.06617	2.79767E+10	9.74272E-05
7273.13746	2.79984E+10	9.7249E-05
7271.20876	2.80200E+10	9.80815E-05
7269.28006	2.80416E+10	9.89655E-05
7267.35135	2.80632E+10	9.90354E-05
7265.42265	2.80849E+10	9.84036E-05
7263.49395	2.81065E+10	9.79811E-05
7261.56525	2.81282E+10	9.90516E-05
7259.63654	2.81498E+10	0.000101329
7257.70784	2.81715E+10	0.000102418
7255.77914	2.81932E+10	0.000101022
7253.85044	2.82149E+10	9.90529E-05
7251.92173	2.82366E+10	9.88145E-05
7249.99303	2.82583E+10	9.97201E-05
7248.06433	2.82800E+10	9.97562E-05
7246.13563	2.83017E+10	9.75298E-05
7244.20692	2.83234E+10	9.40024E-05
7242.27822	2.83451E+10	9.34059E-05
7240.34952	2.83668E+10	9.69296E-05
7238.42082	2.83886E+10	0.000100325
7236.49211	2.84103E+10	0.00010032
7234.56341	2.84321E+10	9.67092E-05
7232.63471	2.84538E+10	9.31514E-05
7230.70601	2.84756E+10	9.42881E-05
7228.7773	2.84974E+10	9.79576E-05
7226.8486	2.85191E+10	9.99172E-05
7224.9199	2.85409E+10	0.000100431
7222.9912	2.85627E+10	0.000100068
7221.06249	2.85845E+10	9.92854E-05
7219.13379	2.86063E+10	9.96556E-05
7217.20509	2.86281E+10	0.000100881
7215.27638	2.86499E+10	0.0001017
7213.34768	2.86717E+10	0.000102093
7211.41898	2.86936E+10	0.000102444
7209.49028	2.87154E+10	0.000102434
7207.56157	2.87372E+10	0.000101111
7205.63287	2.87591E+10	9.91771E-05
7203.70417	2.87809E+10	9.91653E-05
7201.77547	2.88028E+10	0.000101227
7199.84676	2.88247E+10	0.000103151
7197.91806	2.88465E+10	0.000103926
7195.98936	2.88684E+10	0.000103812
7194.06066	2.88903E+10	0.000103707
7192.13195	2.89122E+10	0.000104328
7190.20325	2.89341E+10	0.000105092
7188.27455	2.89560E+10	0.00010523
7186.34585	2.89779E+10	0.000104413
7184.41714	2.89998E+10	0.000102327
7182.48844	2.90217E+10	0.000100225
7180.55974	2.90437E+10	0.00010082
7178.63104	2.90656E+10	0.000103817
7176.70233	2.90875E+10	0.000106086
7174.77363	2.91095E+10	0.000106583
7172.84493	2.91314E+10	0.000105743
7170.91623	2.91534E+10	0.000103512
7168.98752	2.91754E+10	0.00010117
7167.05882	2.91973E+10	0.00010078
7165.13012	2.92193E+10	0.000101673
7163.20142	2.92413E+10	0.000101554
7161.27271	2.92633E+10	0.000101154
7159.34401	2.92853E+10	0.000102576
7157.41531	2.93073E+10	0.000104987
7155.4866	2.93293E+10	0.000106448
7153.5579	2.93513E+10	0.000106697
7151.6292	2.93733E+10	0.000106558
7149.7005	2.93953E+10	0.000106463
7147.77179	2.94174E+10	0.000105755
7145.84309	2.94394E+10	0.000104341
7143.91439	2.94614E+10	0.000103341
7141.98569	2.94835E+10	0.000102746
7140.05698	2.95055E+10	0.000102465
7138.12828	2.95276E+10	0.000103644
7136.19958	2.95497E+10	0.000105889
7134.27088	2.95717E+10	0.000107841
7132.34217	2.95938E+10	0.000109093
7130.41347	2.96159E+10	0.000109313
7128.48477	2.96380E+10	0.000108778
7126.55607	2.96601E+10	0.000108278
7124.62736	2.96822E+10	0.000107885
7122.69866	2.97043E+10	0.000107311
7120.76996	2.97264E+10	0.00010575
7118.84126	2.97485E+10	0.000103448
7116.91255	2.97706E+10	0.000103296
7114.98385	2.97927E+10	0.000105877
7113.05515	2.98149E+10	0.000107992
7111.12645	2.98370E+10	0.00010835
7109.19774	2.98592E+10	0.000107663
7107.26904	2.98813E+10	0.000106715
7105.34034	2.99035E+10	0.000106935
7103.41163	2.99256E+10	0.000108349
7101.48293	2.99478E+10	0.000109263
